id,area_name,quest
1_1_1,The Twilight Strand,Kill Hillock (Guaranteed Level Up to Level 2)
1_1_1,The Twilight Strand,Enter Lioneye's Watch
1_1_town,Lioneye's Watch,Talk to Tarkleigh
1_1_town,Lioneye's Watch,Enter The Coast
1_1_2,The Coast,Activate Waypoint
1_1_2,The Coast,Rush to Mud Flats (No need to kill enemies - next zones will suffice to reach Level 4. Click corpses for loot.)
1_1_3,The Mud Flats,Find 3 Glyphs in water streams (The streams form a triangle or line pattern)
1_1_3,The Mud Flats,Find and enter Submerged Passage
1_1_3,The Mud Flats,Waypoint back to The Coast
1_1_2,The Coast,Enter The Tidal Island
1_1_2a,The Tidal Island,Kill Hailrake and collect Medicine Chest (Recommended Level 4)
1_1_2a,The Tidal Island,Return to town (Relog)
1_1_town,Lioneye's Watch,Turn in quests to Tarkleigh and Nessa
1_1_town,Lioneye's Watch,Waypoint to Submerged Passage
1_1_4_1,The Submerged Passage,Find the bridge and place Portal (Or place portal when you see Flooded Depths entrance on minimap)
1_1_4_1,The Submerged Passage,Cross bridge to enter The Ledge
1_1_5,The Ledge,Follow the wall to The Climb (Safer route: follow the cliff. Avoid Kuduku the False God (totem boss with AoE explosion))
1_1_6,The Climb,Follow the west edge to Lower Prison (Follow the west edge from the entrance)
1_1_7_1,The Lower Prison,Activate Waypoint
1_1_7_1,The Lower Prison,Waypoint to town
1_1_town,Lioneye's Watch,Take Portal back to Submerged Passage
1_1_4_1,The Submerged Passage,"Find and enter Flooded Depths (Usually at 6 o'clock or 1 o'clock before bridge, rarely 3 o'clock)"
1_1_4_0,The Flooded Depths,Kill Deep Dweller (Search diagonally opposite the entrance)
1_1_4_0,The Flooded Depths,Return to town (Relog)
1_1_town,Lioneye's Watch,Talk to Tarkleigh for Passive Point
1_1_town,Lioneye's Watch,Talk to Nessa
1_1_town,Lioneye's Watch,Waypoint to Lower Prison
1_1_7_1,The Lower Prison,Complete Trial of Ascendancy (Usually at 1 o'clock in the zone)
1_1_7_1,The Lower Prison,Enter The Upper Prison
1_1_7_2,The Upper Prison,Optional: Find Chemist's Strongbox (High chance for Quicksilver Flask. Vendor: QSF + Aug + Boots = MS Boots)
1_1_7_2,The Upper Prison,Kill Brutus (Aim to be Level 8-10)
1_1_7_2,The Upper Prison,Return to town (Relog)
1_1_town,Lioneye's Watch,Talk to Tarkleigh
1_1_town,Lioneye's Watch,Waypoint to Prisoner's Gate
1_1_8,Prisoner's Gate,"Follow ledge near road to side passage, then to Ship Graveyard (Exit is always on a lower layer than entrance - follow downward slopes)"
1_1_9,The Ship Graveyard,Find Ship Graveyard Cave entrance and place Portal
1_1_9,The Ship Graveyard,Find and enter Cavern of Wrath
1_1_11_1,The Cavern of Wrath,Activate Waypoint (Follow the river in the direction the water flows)
1_1_11_1,The Cavern of Wrath,Waypoint to town
1_1_town,Lioneye's Watch,Talk to Nessa
1_1_town,Lioneye's Watch,Take Portal to Ship Graveyard
1_1_9,The Ship Graveyard,Enter Ship Graveyard Cave
1_1_9a,The Ship Graveyard Cave,Find Allflame (NPC) for quest item (Search diagonally opposite the entrance)
1_1_9a,The Ship Graveyard Cave,Exit to Ship Graveyard
1_1_9,The Ship Graveyard,Kill Fairgraves
1_1_9,The Ship Graveyard,Return to town (Relog)
1_1_town,Lioneye's Watch,Talk to Bestel for Passive Point
1_1_town,Lioneye's Watch,Get remaining Act 1 gems from Nessa (Or revisit during Act 2)
1_1_town,Lioneye's Watch,Waypoint to Cavern of Wrath
1_1_11_1,The Cavern of Wrath,Follow water to Cavern of Anger (Follow the water in the direction it flows)
1_1_11_2,The Cavern of Anger,Kill Merveil (Act 1 Final Boss) → Enter The Southern Forest (Act 2) (Follow the water to Merveil's Lair. Aim to be Level 11.5-12)
1_2_1,The Southern Forest,Follow the edge path to The Forest Encampment (High-density zone - great for experience catch-up if underleveled)
1_2_town,The Forest Encampment,Enter The Old Fields
1_2_2,The Old Fields,Place Portal at The Den entrance (Only needed if getting 2nd Quicksilver Flask)
1_2_2,The Old Fields,Follow road to The Crossroads (The road leads directly to the zone exit)
1_2_3,The Crossroads,Activate Waypoint (Static layout - Waypoint is always at center)
1_2_3,The Crossroads,"Waypoint to Town or take Portal to complete Den quest (Kill White Beast, then talk to Yeena for reward)"
1_2_3,The Crossroads,Head to Chamber of Sins Level 1 (Exit is roughly northwest from the Waypoint)
1_2_6_1,The Chamber of Sins Level 1,Enter Chamber of Sins Level 2 (Find the circular inner room - exit is behind Waypoint)
1_2_6_2,The Chamber of Sins Level 2,Reach the central room (Waypoint icon on minimap points toward the exit)
1_2_6_2,The Chamber of Sins Level 2,Complete Trial of Ascendancy
1_2_6_2,The Chamber of Sins Level 2,Kill Fidelitas and collect Baleful Gem (Located in a long corridor. Aim for Level 14-15)
1_2_6_2,The Chamber of Sins Level 2,Return to town (Relog)
1_2_town,The Forest Encampment,Talk to Greust → Waypoint to Riverways
